ID,Entry,OriginalEmotion
12643,Köpek görünce korktum.,Fear
12644,Babamın bana boş yere kızması beni öfkelendirdi.,Anger
12645,Kediyi ölü halde görünce çok üzüldüm.,Sadness
12646,Evin tuvaletinde sinek olmasından tiksinirim.,Disgust
12647,Teyzemi kapıda görünce çok şaşırdım.,Surprise
12648,Bayrak koşusunda erkekleri yendiğimde sevindim.,Happy
12649,Yolda giderken önümden geçen kediden korktum.,Fear
12650,Kardeşim bana dil çıkarınca çok öfkelenirim.,Anger
12651,Büyük dedemin öldüğünü duyunca çok üzüldüm.,Sadness
12652,Kardeşim yemek yerken kustuğunda tiksinirim.,Disgust
12653,Uzak şehirde olan kuzenimi okul dönüşü görünce çok şaşırdım.,Surprise
12654,Geçen yıl dayımın beni ilk defa tiyatroya götürmesinden mutlu oldum.,Happy
12655,Annemin yatarken kapımı kapatmasından korkarım.,Fear
12656,Arkadaşımın bilerek canımı acıtmasına öfkelenirim.,Anger
12657,Dayımın askere gittiği gün çok üzüldüm.,Sadness
12658,Tam banyo edeceğim sırada gördüğüm böcekten tiksindim.,Disgust
12659,Abimin bu yıl bana ilk defa oyuncak almasına şaşırdım.,Surprise
12660,İlk kez annemle birlikte pikniğe gittiğimde çok mutlu oldum.,Happy
12661,İlk kez dişçiye gittiğimde çok korktum.,Fear
12662,Kardeşimin odayı dağıtmasına öfkeleniyorum.,Anger
12663,Kuzenimin dedesi vefat ettiğinde çok üzüldüm.,Sadness
12664,Birinin yola tükürmesinden tiksiniyorum.,Disgust
12665,Balkondan bakarken arkadaşımı evin önünden geçerken görünce şaşırdım.,Surprise
12666,Annem bana tablet alınca mutlu oldum.,Happy
12667,Evde yapayalnız kaldığımda korkuyorum.,Fear
12668,Arkadaşım bana yumruk attığında öfkelendim.,Anger
12669,Yoldan geçerken arkadaş başıma vurduğunda çok üzüldüm.,Sadness
12670,Babam içki içince tiksinirim.,Disgust
12671,Babam bana bilgisayar aldığında şaşırdım.,Surprise
12672,Arkadaşım bana hediye verdiğinde çok mutlu oldum.,Happy
12673,Böcek gördüğüm anda korkarım.,Fear
12674,Arkadaşım bana bağırdı ben de öfkelendim.,Anger
12675,Arkadaşımla çarpıştık üzüldüm.,Sadness
12676,Dayım sigara içtiğinde tiksinirim.,Disgust
12677,Okulda pizza yediğimde çok şaşırdım.,Surprise
12678,Köpeğim suratımı yaladığında mutlu olurum.,Happy
12679,Tek başıma kaldığımda çok korktum.,Fear
12680,Biri benden izinsiz eşyamı alınca öfkelenirim.,Anger
12681,Annem sigara içtiğinde üzülüyorum.,Sadness
12682,Pis kokulardan tiksiniyorum.,Disgust
12683,Annem bana çilekli pasta yapınca şaşırdım.,Surprise
12684,Peynir yemeye başlayınca çok mutlu oldum.,Happy
12685,Kolum kırılınca çok korktum.,Fear
12686,Ablamın beni dövmesine öfkelendim.,Anger
12687,Annemin bana vurmasına üzüldüm.,Sadness
12688,Yemekte birinin hapşırması ve sümüğünü yakasına sürmesinden tiksinirim.,Disgust
12689,Teyzemin benden habersiz gelmesine şaşırdım.,Surprise
12690,Kuzenlerimin  gün tatilinde bize gelmelerinden mutlu oldum.,Happy
12691,Cırcır böceği benim ve kuzenimin üzerine gelince korktuk.,Fear
12692,Anne ve babamın ara sıra beni dinlememesine ve birilerinin kötü bir şey yapmasına öfkeleniyorum.,Anger
12693,Annem üzülünce ben de üzülüyorum.,Sadness
12694,Salyangozun elime dolanmasından tiksinirim.,Disgust
12695,Annemin doğum günümde çok istediğim tableti almasına şaşırdım.,Surprise
12696,Annem bana sürpriz yaptığında mutlu oluyorum.,Happy
12697,Gece bir rüya gördüm ve korktum.,Fear
12698,Bir yere gitmemize söz verip sözlerini tutmayınca aileme öfkeleniyorum.,Anger
12699,Annem bana kızınca üzülüyorum.,Sadness
12700,Yemek yerken bir böceğe bastığımda tiksiniyorum.,Disgust
12701,Anneannemin bize haber vermeden İzmir'e gelmesi bizi şaşırttı.,Surprise
12702,Annem ve babam bana bir tablet alınca çok sevindim.,Happy
12703,Dolabı açtığımda fare çıkınca korktum.,Fear
12704,Annem beni kızdırınca çok öfkelenirim.,Anger
12705,Anneannem vefat edince çok üzüldüm.,Sadness
12706,Elbisem pislenince tiksinirim.,Disgust
12707,Ablamı görünce çok şaşırdım.,Surprise
12708,Annemler doğum günümde tablet alınca çok mutlu oldum.,Happy
12709,Arkadaşımın şakasından korktum.,Fear
12710,Arkadaşım bana verdiği sözü tutmayınca çok öfkelendim.,Anger
12711,Arkadaşım beni doğum gününe çağırmayınca çok üzüldüm.,Sadness
12712,Evde gördüğüm böcekten tiksindim.,Disgust
12713,Anaokul arkadaşımı görünce çok şaşırdım.,Surprise
12714,Kızımı elime aldığımda dünyanın en mutlu insanı bendim.,Happy
12715,Yılandan korkarım.,Fear
12716,Haksızlığa ve yalana dayanamam öfkelenirim.,Anger
12717,Sevdiklerime bir sıkıntı gelirse çok üzülürüm.,Sadness
12718,Ter kokusundan çok tiksinirim.,Disgust
12719,6 yaşındaki bir çocuk 5. kattan düştü ve ayağa kalkıp arkadaşlarına katıldı. Hepimiz çok şaşırdık.,Surprise
12720,İstanbul'a gideceğim için çok sevindim.,Happy
12721,Hayaletli bir film izlemiştim. yattığımda korkudan uyuyamadım.,Fear
12722,Haksızlığa uğradığımda çok öfkelenirim.,Anger
12723,Dedemin ölümüne çok üzüldüm.,Sadness
12724,Çikolatalı krakerden çok tiksinirim.,Disgust
12725,Anneanneme indiğimde karşıma teyzem çıkınca çok şaşırdım.,Surprise
12726,havaların ısınmasına sevindim.,Happy
12727,Uçağa ilk bindiğimde korktum.,Fear
12728,Otobüs geç gelip yağmurda ıslanınca öfkelendim.,Anger
12729,Kedim öldüğünde çok üzüldüm.,Sadness
12730,Hava kirliliğinden bıktım.,Disgust
12731,Yıllardır göremediğim arkadaşımı görünce çok şaşırdım.,Surprise
12732,Kızımın mezuniyet töreninde hem gurur hem de mutluluk yaşadım.,Happy
12733,Kızımın çok emek vermesine rağmen üniversite sınavında başarısız olma ihtimali beni korkutuyor.,Fear
12734,Fatura ödemek için sıra beklerken haksız yere önüme geçilmesine çok öfkeleniyorum.,Anger
12735,"""Soma'da"" 302 işçinin ölümüne çok üzüldüm.",Sadness
12736,Yemek yerken ağız şapırdatılmasından hoşlanmıyorum.,Disgust
12737,Kedim doğurduğunda çok şaşırdım.,Surprise
12738,Evde kız arkadaşımla çılgınca müzik açıp oynamak beni mutlu eder.,Happy
12739,Böceklerin üstüme gelmesi beni korkutur.,Fear
12740,"
      Birinin beni bekletmesi beni öfkelendirir.
      Kaybettiğim bir eşyayı bulamamak beni öfkelendirir.
    ",Anger
12742,Mutfakta çeşmenin altında bulaşıkların birikmesinden iğrenirim.,Disgust
12743,2011 yılındaki doğum günümde arkadaşlarımın hepsinin bir araya gelip kutlaması beni şaşırttı ve mutlu etti.,Surprise
12744,Ailemi karşımda gördüğümde mutlu olurum.,Happy
12745,Gurbetteki aileme bir şey olacak diye korkarım.,Fear
12746,Mutfak tezgahının üzerinde bir bardak bile görsem öfkeleniyorum.,Anger
12747,Bir sorunum varsa hiçbir şeye konsantre olamam üzüntüden hasta olurum.,Sadness
12748,Mutfaktaki pis kokudan tiksinirim bir şey yiyemem.,Disgust
12749,Oğlumun bildiğimden başka bir yüzünü görsem şaşırırım. Çözüm bulmaya çalışırım.,Surprise
12750,Çocuğum doğduğunda mutluluktan havalara uçtum,Happy
12751,Kızım düştüğünde çok korktum.,Fear
12752,Adaletsizliğe öfkeleniyorum.,Anger
12753,16 yaşında gaz zehirlenmesinden ölen hastama üzüldüm.,Sadness
12754,Birinin burnunu kurcalamasından tiksiniyorum.,Disgust
12755,Yüksek oranda hastalık belirtisi veren birinin şikayetsiz gelmesi beni şaşırttı.,Surprise
12756,Sevdiğim bir insandan hediye almak veya sürpriz yapılması beni çok mutlu eder.,Happy
12757,Sevdiğim bir insanı çok basit bir nedenden  veya bir yalan yüzünden kaybetmekten çok korkarım.,Fear
12758,Hakkımda iftira yalan dedikodu yapılması ve sözümün kesilmesinden çok öfkelenirim.,Anger
12759,Çocuk yaşta babamın vefatını anlamış ve fark etmiş olmam sonucu ergenlik çağımın sonuna kadar psikolojik sorunlar yaşadım.,Sadness
12760,Böceklerden aşırı derecede tiksiniyorum.,Disgust
12761,Güvendiğim insanların bana ihanet etmesi bir süre düşünmeme sebep olur.,Surprise
12762,Yeğenim doğduğunda çok mutlu oldum.,Happy
12763,Sevdiklerimi kaybetmekten korkuyorum.,Fear
12764,Verilen sözlerin tutulmamasına öfkelenirim.,Anger
12765,"Dedemi, kuzenimi ve eniştemi aynı yıl içinde kaybetmek canımı acıtıyor.",Sadness
12766,Ter kokusundan tiksiniyorum.,Disgust
12767,Son zamanlarda olan hiçbir şeye şaşırmıyorum.,Surprise
12768,Oğlumu kucağıma (doğduğunda) çok mutlu oldum.,Happy
12769,Trafik kazası atlattığımda çok korktum.,Fear
12770,İnsanlar otobüse binerken birisini itince çok öfkeleniyorum.,Anger
12771,Dayım vefat ettiğinde çok üzüldüm.,Sadness
12772,Sokaktaki çöp konteynerlarının kokusundan tiksiniyorum.,Disgust
12773,Eşimin doğum günü sürprizine şaşırdım.,Surprise
12774,Çocuklarım mutluluk kaynağımdır.,Happy
12775,Dişçiden çok korkarım,Fear
12776,Çevremde yapılan haksızlıklar beni öfkelendirir.,Anger
12777,Babamın ölümü çok fazla etkiledi. çok üzüldüm. yaşantımı sıkıntıya soktu,Sadness
12778,Sokakta çöp konteynerlarının kokusundan tiksiniyorum.,Disgust
12779,Her şeye hazırlıklıyımdır. hiçbir şeye şaşırmam,Surprise
12780,Çocuğumun içten kahkahası beni çok mutlu eder.,Happy
12781,Jinekolog muayenesinden çok korkarım.,Fear
12782,Atatürk'e yapılan saygısızlık beni öfkelendirir.,Anger
12783,Yakın arkadaşımın intiharı beni çok üzdü.,Sadness
12784,Yerlere tükürülmesi beni çok tiksindirir.,Disgust
12786,Hayatımdaki sevdiğim insanların mutlu olması bana mutluluk verir.,Happy
12787,Sevdiğim bir insanı yitirmekten korkarım.,Fear
12788,İnsanların bana değer vermemesine öfkelenirim.,Anger
12789,Ailemden birinin kaybına üzülürüm.,Sadness
12790,Yemek yerken ağız şapırdatılması ve temizliğe dikkat edilmemesinden tiksinirim.,Disgust
12791,Hiç beklemediğim insanların yalan söylemesi,Surprise
12792,Muafiyet kazandığımda çok mutlu oldum.,Happy
12793,İzlediğim filmdeki cinayet sahnesinden korktum.,Fear
12794,"Şu günlerde ülkemizdeki insanların haksızlığa karşı çıkmamaları, her şeyi olduğu gibi kabullenmeleri beni çok öfkelendiriyor.",Anger
12795,Hazırlık sınıfını geçemediğimi öğrendiğimde çok üzülmüştüm.,Sadness
12796,Yere tükürülmesinden tiksinirim.,Disgust
12797,İngilizce muafiyetinin geçme notunun 60 olduğunu duyduğumda şaşırdım.,Surprise
12798,Sevdiğim kız evlilik teklifimi kabul edince çok sevindim.,Happy
12799,"Lise birinci sınıfta izlediğim ""Garez"" filminden korktum.",Fear
12800,Okurken arkadaşım kavga çıkarınca öfkelenirim.,Anger
12802,Çankaya'da giyim dükkanında deniz (can) yeleği satıldığı zaman insanlıktan tiksindim.,Disgust
12803,"A Milli takımın 2008 yılında ""Çek Cumhuriyeti"" karşısındaki 3-2 'lik galibiyetine şaşırdım.",Surprise
12804,Üniversiteyi kazandığım gün çok mutlu oldum.,Happy
12805,"""YGS"" puanımın düşük geleceğinden çok korktum.",Fear
12806,Vizelerin zor olmasına öfkelendim.,Anger
12807,Ülkemizde çıkan terör olaylarından üzüldüm.,Sadness
12809,Türkiye'nin Hollanda maçındaki galibiyetine şaşırdım.,Surprise
12810,Üniversiteyi kazanınca çok mutlu oldum.,Happy
12811,Geçen sene (hazırlıkta) finali geçememekten çok korkmuştum.,Fear
12812,Karşımdaki kişinin vurdumduymazlığı beni çok öfkelendirir.,Anger
12813,Geçen sene vefat eden babama çok üzüldüm.,Sadness
12814,Akşamları dışarıda gördüğüm kurbağalardan tiksinirim.,Disgust
12815,Geçen seneki sınavda kıl payı geçmem (60) dolayısı ile şaşırdım.,Surprise
12816,Üzgün anımda kuzenimin bana sarılmasından büyük mutluluk duydum.,Happy
12817,"Gecenin bir yarısında su içmeye kalktığımda annemi dağınık, perişan bir şekilde karşımda görünce çok korktum.",Fear
12818,Kardeşimin yapma dediğim şeyi yapmasına öfkeleniyorum.,Anger
12819,Annemle babamın ayrılmasına çok üzüldüm.,Sadness
12820,Çocukken yanlışlıkla içtiğim idrar aklıma geldikçe tiksiniyorum.,Disgust
12821,İzmir Fen Lisesini çok az bir puanla kaçırdığımı öğrenince çok şaşırdım.,Surprise
12822,Oynadığım takımın maç kazanmasından mutlu olurum.,Happy
12823,Kabus gördükten sonra uyku felci geçirmekten korktum.,Fear
12824,8-9 yaşındaki çocuğun bana velet demesine öfkelendim.,Anger
12825,Dedemin vefatına üzüldüm.,Sadness
12826,Bir insanın iç organlarının dışarıya çıkmış olmasından tiksinirim.,Disgust
12827,Oyun sonucu hediye gelen kutudan son derece nadir bir hediye çıkmasına şaşırdım.,Surprise
12828,"""Fenerbahçe'nin"" şampiyon olmasından çok mutlu oldum.",Happy
12829,Korku filmi izledikten sonra odada tek başıma kalmaktan korkuyorum.,Fear
12830,Oyunda üst üste karşıdakini öldürmeden ölünce öfkeleniyorum.,Anger
12831,Arkadaşım öldüğü gün çok üzüldüm.,Sadness
12832,Arkadaşımın ayağını yatağıma ya da vücuduma sürmesinden tiksinirim.,Disgust
12833,Babamın ölüm haberini alınca çok şaşırdım.,Surprise
12834,Fenerbahçe 10 puan farkla şampiyon olunca çok mutlu oldum.,Happy
12835,"""Dabbe Cin çarpması"" filmini izlerken korktum.",Fear
12836,Annemin abimle kavgamızda olayı anlamadan beni suçlu görmesine öfkeleniyorum.,Anger
12837,Yatılı liseye girip ailemden ayrılınca üzüldüm.,Sadness
12838,"Dolmuşta ter, parfüm vb. kokuların karışmasından tiksiniyorum.",Disgust
12839,Fenerbahçe-Fethiye Belediye maçında 2-0 mağlupken 2-2 olmasına şaşırdım.,Surprise
12840,Sınavlardan 100 alınca mutlu olurum.,Happy
12841,Ani ses ve tepkilerden korkarım.,Fear
12842,Fikrimin açıklanmasına izin verilmemesine öfkelenirim.,Anger
12843,Bir yakınım üzülünce ben de üzülürüm.,Sadness
12844,Herhangi birinin kötü kokmasından tiksinirim.,Disgust
12845,100 almayı beklediğim sınavdan 99 alınca şaşırdım.,Surprise
12846,İhtiyacı olan birine yardımcı olmaktan mutluluk duyarım.,Happy
12847,Çabalarımın boşa gitmesinden ve sevdiklerimin kaybından korkarım.,Fear
12848,Karşımdaki beni dinlemeyince veya dikkate almayınca öfkelenirim.,Anger
12849,İleriye yönelik hayallerimin gerçekleşmemesinden üzülürüm.,Sadness
12850,Toplu kullanılan yerlerin pis bırakılmasından tiksinirim.,Disgust
12851,Yerine göre davranılmadığında ve sürpriz yapıldığında şaşırırım.,Surprise
12852,Sınavdan yüksek puan aldığımda mutlu olurum.,Happy
12853,Karanlıkta yalnızken birilerinin varlığını hissettiğimde korkarım.,Fear
12854,Düşündüğüm ve istediğim şeyleri yaptığımda benimle dalga geçilmesine öfkelenirim.,Anger
12855,Ailemden birinin ölmesinden büyük üzüntü duyarım.,Sadness
12856,Okuldaki tuvaletlerin idrar kokusundan tiksindim.,Disgust
12857,Değişik yeteneği olan insanları/ hayvanları görünce şaşırıyorum.,Surprise
12858,Salladığım cevabın doğru çıkmasından mutlu olurum.,Happy
12859,Ani olaylardan korkarım.,Fear
12860,Birinin sürekli beni dürtmesine öfkelenirim.,Anger
12861,Okuldan yorgun döndüğümde evin önünde bir sürü ayakkabı görünce üzülürüm.,Sadness
12862,Çatalın tabağa sürterken çıkardığı sesten tiksinirim.,Disgust
12863,Beklenmedik bir olayın olmasına şaşırırım.,Surprise
12864,Emeğimin karşılığını aldığımda mutlu olurum.,Happy
12865,Aniden gördüğüm böcekten korkarım.,Fear
12866,Benimle dalga geçildiğinde öfkelenirim.,Anger
12867,Yakınlarımı kaybettiğimde üzülürüm.,Sadness
12868,Ağzı açık yemek yiyenden ve geveze insanlardan tiksinirim.,Disgust
12869,Arkadaşlarımla çıktığımız gezide kaldığımız odanın balkonunda çikolata bulunca şaşırdık.,Surprise
12870,İstediğim liseyi kazanınca mutlu oldum.,Happy
12871,kardeşim ameliyat olurken korkmuştum.,Fear
12872,Çok çalıştığım sınavda arkadaşlarımın kopya çekerek benden yüksek not almasına öfkeleniyorum.,Anger
12873,Yolda yardıma ihtiyacı olanları görünce üzülürüm.,Sadness
12874,Parası olan insanların dilenmesinden tiksinirim.,Disgust
12875,Ailemin düzenlediği sürpriz doğum gününe şaşırmıştım.,Surprise
12882,Ailem ve arkadaşlarımla birlikte olmaktan mutluluk duyarım.,Happy
12883,Kedi yada köpek arkamdan kovaladığında korkarım.,Fear
12884,Birisinin bana yalan söylemesine öfkelenirim.,Anger
12885,Ailemden ayrıldığımda üzülürüm.,Sadness
12886,Kirli bir yer gördüğümde tiksinirim.,Disgust
12887,Arkadaşımın beklenmedik davranışında şaşırırım.,Surprise
12888,ben genellikle elhamdülillah her zaman mutluyum. Şükür bir sıkıntım olmadığı için. Allah hiçbir zaman sıkıntı yaşatmasın.,Happy
12889,annemin rahatsızlandığı zamanlar en korktuğum zamandır. İçime bir sıkıntı düşüverir.,Fear
12890,haksızlığa uğradığım zamanlar. Haksızlık olaylarını kaldıramıyorum.,Anger
12891,okulu kazanıp evden ayrıldığımda çok üzüldüm.,Sadness
12892,hamam böceğinden çok tiksinirim. Onu gördüğüm zaman midem bulanır o derece.,Disgust
12893,Üniversite tercih sonuçları açıklandığında çok şaşkınlık çok tuhaf duygular içine girdim.,Surprise
12894,galatasaray'ın şampiyonlar ligi'ndeki çeyrek finale çıkma maçında çok mutlu oldum.,Happy
12895,gece vakti evde yalnız kalınca çok korkuyorum. Ayrıca karanlıktan korkarım.,Fear
12896,aile içinde veya akraba arasında siyasi muhabbetler beni çok öfkelendirir. Kimseyi gözüm görmez anne veya babamla bile tartışırım.,Anger
12897,"sevdiğim insandan olumsuz ters bir söz duyunca, görünce üzülürüm.",Sadness
12898,"haşereler, yılanlar, kedilere dokunmaktan her zaman tiksinirim. Özellikle sürüngen hayvanlardan aşırı derecede tiksinirim.",Disgust
12899,birilerinin veya birinin beni düşündüğünü fark edince çok şaşırıyorum.,Surprise
12900,"
      yeni bir burs kazanmam.
      Hazırladığım bir projenin kabul edilmesi
    ",Happy
12901,"
      metro tünelinin çökmesi
      mitinglerde patlama yaşanması
    ",Fear
12902,"
      adaletsizlik durumu.
      tartışma sırasında kişinin cehalette ısrar etmesi
    ",Anger
12903,düşük not almam ya da sevdiğim birinin kaybı.,Sadness
12904,"
      kanalizasyon kokusu duymak.
      Terli insanlarla tokalaşmak.
    ",Disgust
12905,"
      doğru olduğunu zannettiğim bir bilginin yanlış olduğunu öğrenmem.
      Güvendiğim birinin yalan söylemesi
    ",Surprise
12906,üniversitede arapça hazırlık sınıfı sınavından geçtikten sonra büyük bir mutluluk duydum.,Happy
12907,genellikle sıklıkla yaşadığım bir durum. Sokakta her sabah ve akşam yoğun bir köpek korkusu yaşamaktayım.,Fear
12908,düzenimin bozulması beni huzursuz eder.,Anger
12909,"arkadaşımla aramız açıldığında önemli bir üzüntü duydum. Sebebi ise birbirimize karşı duyduğumuz çeşitli imrenme duyguları. Örneğin aile yapısı, hayata karşı duruş.",Sadness
12910,insanların yüzüne gülümseyip arkanızdan farklı işlere kalkışması beni bu duyguya sevk eder.,Disgust
12911,bir yakınımın vefatı üzerine vefatı kabullenemediğim için yaşadığım bir duyguydu.,Surprise
12912,annemin ameliyattan iyi bir şekilde çıkması. Sınav sonuçlarım iyi olduğunda,Happy
12913,asansörde uzun süre kalmak. Yükseklik korkusu ve köpek ısırması,Fear
12914,"gürültü, kalabalık, yalan söylenmesi, yapmacık davranışlar",Anger
12915,kardeşimin ölümü.,Sadness
12916,böcek ve yılandan midem bulanır.,Disgust
12917,çalışmadığım sınavlarda iyi sonuç almam. Sürprizlerin yapılması,Surprise
12918,"sevdiğim insanlarla bir arada olmak, zaman geçirmek ve onlarla anı paylaşmak beni mutlu eder.",Happy
12919,sevdiğim insanların zor durumda olması beni korkutur ama yıldırmaz. Çünkü korkumun yanında her zaman bir umut da bulurum.,Fear
12920,insanların kendi fikirlerini bana empoze etmesinden nefret ederim. Örneğin bir insanın siyasi fikrini sorgulamadan bana aşılamaya çalışmasından nefret ederim.,Anger
12921,üniversiteye hazırlık döneminde ilk yılda istediğim puanı alamamam beni üzmüştü,Sadness
12922,insanların menfaatleri uğruna taraftarlık yapması,Disgust
12923,bazı yakın insanların bir süre görüşmeyince çok değişmesi karşısında şaşırırım.,Surprise
12924,"
      sevdiklerimle vakit geçirdiğimde.
      kendime özen gösterdiğimde
    ",Happy
12925,"
      bulunduğum yerde hiç deprem olmadığından okul için geldiğim İzmir'de hafif şiddetli bir deprem olduğunda çok korkmuştum.
      Köpeklerden korkarım.
    ",Fear
12926,"
      birinin bana verdiği sözü tutmamasında veya bir başkasına verdiği sözü tutmadığını gördüğümde.
      yalan söylendiğinde
    ",Anger
12927,"
      sınavdan düşük not aldığımda
      çevremdeki insanlarla sorun yaşadığımda
    ",Sadness
12928,bir yere gittiğimde orası yeterince temiz olmadığında,Disgust
12929,beklemediğim kişilerden beklemediğim şeyleri yaptıklarını görünce,Surprise
12930,"ailemle birlikte gezmeye gitmiştik. Alışveriş yapıyorduk. Telefon geldi. Bir tanıdığım YGS sonuçlarının açıklandığını söyledi. Benim bakamayacağımı, heyecanlandığımı bildiği için kendi baktı ve kazandığımı söyleyince babamın, annemin yüzündeki o mutluluk ifadesini görünce dünyalar benim oldu.",Happy
12931,annem kardeşimi okula almaya gittiğinde onu arayıp bulamadığını söylediği zaman çok korkmuştum. Kursu varmış o yüzden bulamamışız.,Fear
12932,beni yapmadığım bir şeyle itham ettikleri zaman çok öfkelenirim. Ama sinirim hemen geçer,Anger
12933,üniversite sınavına çok çalıştığım halde istediğim ilahiyat bölümünü kazanamadığımı öğrendiğim zaman çok üzülmüştüm. Dershaneye gitmeden asla kazanamazsın diyen hocalarıma rağmen şimdi buradayım.,Sadness
12934,"hamam böceği, fare gibi haşeratları görünce çok tiksiniyorum.",Disgust
12935,sınıf mevcudunun 175 kişi olduğunu öğrendiğimde şaşırdım.,Surprise
12936,YGS'den sonra mutlu olmuştum.,Happy
12937,genelde sınavlardan önce korku hissederim.,Fear
12938,"aradığını bulamamak gibisi yok. Bir şeyi üç ay aradım, bulamadım ve çıldırdım.",Anger
12939,"
      sınıfta kalınca çok üzülmüştüm.
      Leyla ile Mecnun dizisi yayından kalkınca çok üzüldüm.
    ",Sadness
12940,terör olaylarından tiksiniyorum.,Disgust
12941,Türkiye futbol milli takımının son anda gruptan çıkarak fransa'da düzenlenen avrupa futbol şampiyonasına gitmesine çok şaşırdım.,Surprise
12942,bütünleme sınavına geçip birinci sınıf olduğumu öğrendiğim zaman mutlu oldum.,Happy
12943,sınav sonuçlarının açıklandığı zaman korkuyorum.,Fear
12944,kötü şakalar yapıldığı zaman öfkeleniyorum.,Anger
12945,bütünleme sınavına kaldığımı öğrendiğim zaman üzüldüm.,Sadness
12946,insanların yemek yaparken yemeği tattığı kaşığı tekrar yemeğe soktuğu zaman tiksiniyorum.,Disgust
12947,yaşının genç olduğunu sandığım birinin yaşlı olduğunu duyduğum zaman şaşkınlık duyuyorum.,Surprise
12948,üniversiteyi kazandığım an,Happy
12949,köpeğin yanıma yaklaştığı an,Fear
12950,biri bana yalan söylediği an sinirlenirim.,Anger
12951,dedemin vefatı,Sadness
12952,birinin ortak olan yemeğe kendi kaşığını daldırması,Disgust
12954,"sevdiğim insanlarla birlikte hayal kurmak ve onları yaşarken bak biz bunun hayalini kurmuştuk, şimdi de yaşıyoruz diyerek şükür eder ve mutlu olurum.",Happy
12955,"korkmayı iki boyutta anlatabilirim. Birincisi manevi korku, ikincisi maddi korku. Manevi korku insanların beni incitme ve üzmesinden korkar ve temkinli yaklaşırım. ikincisi ise geç saatte yalnız başıma sokakta gezmekten korkarım.",Fear
12956,"
      insanlar söz verip tutmadıkları zaman öfkelenirim.
      Hayatımda verdiğim kararlara müdahale edilmesine çok sinirlenirim.
      Bazen kendi fikrimde olmayan insanlara da sinirlendiğim oluyor.
    ",Anger
12957,Haberleri izlerken şehit ya da ölüm haberlerinden tutup bir karıncanın incinmesine kadar her şeye üzülürüm. Çok hassaslığımdan dolayı bazen kendimi yıpratırım.,Sadness
12958,"
      temiz olmayan bir oda beni tiksindirir.
      tiksinmek için bana temiz olmayan her şeyi kapsayabilir.
    ",Disgust
12959,beklemediğim insanlardan ummadığım özellikleri keşfettiğimde içimden şaşkınlık yaşarım.,Surprise
12960,"yaklaşık bir yıldır gitmediğim memleketime gittim. Çok özlemiştim. Çok mutlu oldum. Eğlendim,  gezdim.",Happy
12961,komşumuzun bir köpeği vardı. Ablamla yolda giderken saldırmıştı. Çok korkmuştum. Ayrıca ani hareketlerden çok korkarım.,Fear
12962,arkadaşımın beni dinlemek yerine kulaklığını takıp müzik dinlemesi. Bu da yetmezmiş gibi son ses açması. Kendi kendime konuşuyor gibi olmama çok sinirleniyorum.,Anger
12963,"
      kendisi için çok şey yaptığım arkadaşımın benim ihtiyacım olduğunda geri çekilmesi.
      Bu durumu kendisine ifade ettiğimde ise bana yaptığım şeyleri karşılık bekleyerek mi yaptığını söylemesi
    ",Sadness
12964,soğan ve et sevmem. Yemeklerde gördüğümde tiksinirim ve midem bulanır.,Disgust
12965,hiç beklemediğim kişileri bir arada gördüğümde çok şaşırırım.,Surprise
12966,tabiki de çikolata yediğim an. Çünkü o birkaç saniyede hiçbir şey düşünmüyorum. O hazzı yaşıyorum. O anı yaşıyorum.,Happy
12967,"
      yalnızlık. Ama bu yalnızlık kalabalıklar içindeki insanın yalnızlığı.
      O yalnızlıkta ölümü daha derinden hissediyorum.
      Ve de çaresizliği hissettiğim için.
    ",Fear
12968,"bana ait olan şeylere, yani benim özel alanıma tecavüz edildiğinde. İzinsiz girildiğinde.",Anger
12969,tabiki de beklentilerimin karşılanmadığı zamanlar. O yüzden geniş hayaller kurulmamalı.,Sadness
12970,ağır yağlı yemek kokularını duyduğum an. Ya da dışarıda beyaz çoraplı erkek gördüğüm an.,Disgust
12971,"
      ölümlerin normal karşılanması.
      Bir sürü ölüm haberleri, cinayet olayları.
      Bunlar artık o kadar normalleşmiş. O kadar bizim hayatımıza sirayet etmiş ki şaşmamak imkansız.
    ",Surprise
12972,geçen sene çok sevdiğim birinin yanındayken çok mutluydum.,Happy
12973,babam iş yerinde bir kaza geçirdi. Bunu duyunca baya korkmuş ve üzülmüştüm.,Fear
12974,okula gelmek için memleketten bilet kestirdiğim otobüs firmasının pencere kenarı istediğim halde bana koridor tarafını ayarlamaları beni çok öfkelendirmişti.,Anger
12975,çok istediğim halde sevdiğim birinin yanına gidememek ve onunda benim yanıma gelememesi bazı sebeplerden dolayı.,Sadness
12976,Arkadaşlarla biz tatildeyken evde kalan kızlar bütün pencereleri açık bıraktığı için evimize kedi girmiş. Tatil bitiminde eve geldik. Kedi evde uzun süre yaşamış ve bu beni tiksindiren bir olaydı.,Disgust
12977,fakülteye ilk geldiğimde ilk Arapça dersinde fazlasıyla şaşırmıştım.,Surprise
12978,geçen bayram bütün aile fertlerinin bir arada oluşuydu son zamanlarda en mutlu hissettiğim an. Üç büyük şehre ayrılmış aile fertlerinin toplanması biraz zor oluyor maalesef. Bu yüzden bu nadir olay en mutlu anlarımdandır.,Happy
